---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Usuário    |TMv|Cen.|Dep.|Material  |Texto breve material                    |Tp.aval. |Lote      |Elemento PEP      |Doc.mat.  |Data lçto.| Quantidade|Pedido    |Referência      |Texto cab.documento      | Nºreser.|DiagRede  |  Montante MI|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| BM3L       |101|2096|    |          |100R16-06 MANG.3/8" X 1.500MM FG JIC-6 R|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    1.491,49 |
| BM3L       |101|2096|    |          |100R2AT-04 MANG. 1/4" X 3.000MM FG JIC-4|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    1.737,48 |
| BM3L       |101|2096|    |          |116SS1212 JOELHO 90 MACHO X FEMEA 3/4" N|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    2.295,39 |
| BM3L       |101|2096|    |          |124SS0808 JOELHO 45 MACHO X FEMEA 1/2 NP|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      445,96 |
| BM3L       |101|2096|    |          |848FSS0404 ADAPT.1/4" NPT M X M JIC-4 37|         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |       71,14 |
| BM3L       |101|2096|    |          |ANEL DE CARGA ALLOY GRAU 8 - AA-AS-40 - |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      432,29 |
| BM3L       |101|2096|    |          |ANEL DE CARGA ALLOY GRAU 8 - AA-AS-40 - |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      432,29 |
| BM3L       |101|2096|    |          |ANEL TRAVA 501.004 AÇO INOX - 501.004   |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |    1.025,64 |
| BM3L       |101|2096|    |          |ANODO DE ALUMINIO #25 X 100 X120        |         |          |                  |5043354358|09.01.2026|           |4514798174|142029-001      |                         |         |          |      320,00 |
